match,prediction,odds,status,date,hash
Huesca – Sociedad B,1,1.86,Lost,2026-05-12,6e1099851427f617b8aad866afc1b369
Tottenham – Leeds,1,1.8,Lost,2026-05-12,0accef1f8246f93a943541eb9c62c87a
Guimaraes – Casa Pia,1,1.66,Lost,2026-05-12,99d411515e2932f8163edaa67fe6ce30
Napoli – Bologna,1,1.53,Lost,2026-05-12,62214ad57a5eb53393e36ffeef2484ab
Benfica – Braga,1,1.39,Lost,2026-05-12,1947f9574126c259f6119b3972383d3b
Cremonese – Pisa,1,1.7,Won,2026-05-12,8f9ed95454bffec659d9ea88d24ccda6
Barcelona – Real Madrid,1,1.61,Won,2026-05-12,136ad1906e330af2ccecb640906502e6
West Ham – Arsenal,2,1.55,Won,2026-05-12,c69d21f2098b5c240408e6d5cd5b57bc
Rennes – Paris FC,1,1.55,Won,2026-05-12,9d55ba893344f276fb250a70a667b738
Parma – Roma,2,1.5,Won,2026-05-12,527a42f2607eb5bc4f459ca83343e3d3
Man City – Brentford,1,1.33,Won,2026-05-12,845c729ed555634ce18a81b53c04360f
Brighton – Wolves,1,1.25,Won,2026-05-12,6f08f66a8f28063ccb0b25a4d32d1ba1
